Review Title,Reviewer Name,Reviewer Location,Review Time,Verified,Review Text,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Overall Rating,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended
"""most disappointing was the food""",M Cambarda,France,3rd October 2023,Trip Verified,"At the online check-in when they give me the availability to choose a seat for free on the middle or the aisle side on my return ticket, both ways. If I wanted to have the window side I had to pay an extra fee. The most disappointing was the food, we had 2 options chicken rice and braised beef when they come to me they didn't have beef anymore, so I  had to take the chicken biryani. No butter or cheese was served.  On the online check-in counter in Muscat i waited more than 25 minutes because one family had immigration issues, since only 1 counter was available.",,Business,Economy Class,Paris to Muscat via Doha,September 2023,3,1.0,4.0,1.0,3.0,3.0,3,no
"""exceptional service""",O Myrick,United States,2nd October 2023,Not Verified,"It's no surprise that Qatar Airways is ranked among the top 10 airlines globally. I recently traveled with my 11 and 17-year-old boys from Doha to Bangkok, and I must commend the airline's exceptional service. The crew members were not only friendly but also soft-spoken, ensuring we had everything we needed and making us feel incredibly comfortable throughout the flight. Thank you once again for the outstanding service; we look forward to flying with Qatar Airways in the future.",,Family Leisure,Economy Class,Doha to Bangkok,October 2023,10,4.0,5.0,5.0,4.0,5.0,5,yes
"""Garuda Business lounge that was really awful""",G Mayle,Australia,1st October 2023,Trip Verified,"I booked to fly Qsuite business from Jakarta to Athens return. On checking in at Jakarta International airport we had to stand and wait for an hour.  When I raised my concern with the staff, they said it was because they have three flights departing at that time.  The lounge was the Garuda Business lounge that was really awful. The only alcoholic beverages available were unpalatable and inferior products.  The ghastly food offering was substandard and inedible. The lounge was cramped, hot and overcrowded. We left the lounge and used the general access / food court section and bought a decent glass of wine and better food. Four weeks before my return flight, Qatar emailed me to say I can not return from Doha to Jakarta in Qsuite because they changed aircraft to one without Q Suite. If If I still want to fly Qsuite, I must catch an alternative flight 7 hours later and wait 9 hours in Doha rather than about 2. Their rules state that I am unable to enter the Doha business lounge until a few hours before my flight, so the rest of the time, I would be locked out of the lounge. As to their email apology to me for moving my fight to a plane without Q Suite, they said I could choose my own seat in the new plane to get the seat of my choice. I tried. And they will not allow me to book my seat until 48 hours before the flight.",,Couple Leisure,Business Class,Jakarta to Athens via Doha,September 2023,4,3.0,3.0,3.0,1.0,1.0,1,no
"""they use a small aircraft""",Mohamed Redha Al Lawati,Oman,30th September 2023,Trip Verified,"We flew from Vienna to Muscat via Doha. The aircraft in the 1st leg was Airbus 320, an old aircraft, seats with hardly any space between the rows. The screen was slow with poor resolution. The inflight program was very limited.  There were only 2 toilets for the economy cabin resulting in a long queue post-lunch. How can they use a small aircraft for an almost 5 hour 15 mins flight. A320 may be appropriate for a short flight but definitely not for this flight.",A320,Family Leisure,Economy Class,Vienna to Muscat via Doha,September 2023,3,1.0,3.0,3.0,1.0,4.0,3,yes
"""the leg room felt a little tighter""",D Morton,Czech Republic,30th September 2023,Trip Verified,"The flight from Bangkok to Doha was on the A380-800. The flight from Doha to Vienna was on an Airbus A320. Both flights were on time and the staff on both flights were very professional and friendly. The food options were above average, and there was a good choice of drink options. I did notice that the entertainment system seemed to have a lot less choice of content than when I last flew Qatar Airways, and the leg room felt a little tighter. Arriving to Doha around 11:00 pm meant a huge crowd waiting to get through security. Doha airport is OK. The flight back to Europe meant taking a bus to the plane and this was a bit of a pain. Both flights were completely full. At Bangkok, I asked at the check in counter whether it was a full flight and the guy behind the desk said that it was overbooked. I guess the remaining passengers got to fly on the next Qatar flight to Doha, which left just an hour and a half after my flight. T I will still fly Qatar Airways and I will still recommend them.",A380-800,Solo Leisure,Economy Class,Bangkok to Vienna via Doha,September 2023,8,5.0,5.0,4.0,3.0,4.0,5,yes
"""the need to take buses""",Albert Tay,Singapore,30th September 2023,Not Verified,"Pretty good service and food but rear-facing seats, and a need to take buses and climb boarding steps on the tarmac. Our stopover in Doha was in the middle of the night and the large impressive lounge is useless: uncomfortable seats to pass 3 hours waiting. They cannot have some lounge chairs to let us rest a little? The male shower room had a queue: why have a large ""pond"" feature but few shower facilities? The most unacceptable aspect was the need to take buses and climb boarding steps on the tarmac.",,Business,Business Class,Singapore to Rome via Doha,September 2023,6,4.0,4.0,4.0,3.0,2.0,3,no
"""didn't acknowledge or greet me""",H Nair,Bahrain,27th September 2023,Trip Verified,"Flight hostesses didn't acknowledge or greet me as I walked to get seated. There are 2-3 hostesses standing by their assigned section who don't acknowledge or greet you, and if they do it's forced and fake. They give juice/water and if you return it when they come to collect it and you say ""thank you"" they didn't acknowledge.",,Solo Leisure,Economy Class,Doha to Bahrain,September 2023,1,1.0,1.0,1.0,,1.0,2,no
"""helped us tremendously""",T Ding,Austria,23rd September 2023,Trip Verified,"Please note that this review is meant solely for the Qatar Airways ground staff. The scores given for seat comfort and cabin staff service are based on previous flights, for reasons given below. We had to cancel our trip due to a family emergency, while we were already in the departure lounge, literally an hour before boarding. We were absolutely distraught because of worry and needed guidance badly for what to do. After exiting the departure lounge and returning to the Qatar Airways check-in counter, one of the staff immediately came to our aid. We had noticed him earlier during check-in attending to passengers queuing for the counters and providing labels for our bags. Not only did he listen patiently to our situation, he also gave clear instructions on how to retrieve our checked-in luggage, as well as when and whom to call in order to manage our flight booking. His calm and sure directions, as well as assistance from other counter staff, helped us tremendously in dealing with the situation. Furthermore, the office that we called regarding our booking attended to our needs very professionally. She explained what we needed to do clearly and repeated patiently when asked to.",,Couple Leisure,Economy Class,Vienna to Singapore via Doha,September 2023,10,5.0,5.0,,,5.0,5,yes
First Class lounge in Doha is amazing,Alwaleed Althani,Qatar,23rd September 2023,Trip Verified,"The First Class lounge in Doha is amazing and then we went on a VIP bus to the plane which actually took longer than the flight. The front cabin on the plane which they called First it wouldn’t qualify for even a C class in Europe.  The take off and landing were immaculate, the pilot was amazing and food was ok. That is all I can say about a 55 minute flight.",Boeing 737-8MAX,Solo Leisure,First Class,Doha to Kuwait,September 2023,7,3.0,5.0,2.0,,5.0,2,yes
experience couldn’t have been better,Anna Makris,Australia,23rd September 2023,Not Verified,I had read many negative reviews about this airline so was a little apprehensive. I’m very happy to report that our experience couldn’t have been better. From checking in to boarding it was all seamless. The cabin crew were absolutely lovely and so attentive to everyone. The seat was very comfortable and food was generally ok. We would’ve preferred a sweet option for breakfast but apart from that everything was perfect. Will definitely fly Qatar again!,,Couple Leisure,Economy Class,Athens to Melbourne via Doha,September 2023,9,5.0,5.0,4.0,4.0,5.0,4,yes
"""fast service and good offerings""",Michael Schade,Germany,23rd September 2023,Trip Verified,"Check in at AUH fast, Al Dhabi contract Lounge average in terms of offerings and service. Flight from Abu Dhabi to Doha uneventful with good service and decent snack. Oryx One Play entertainment system again not working throughout the flight. No contact gate in Doha with a long 20 min bus ride from a remote stand. Qatar Platinum Lounge South crowded, but fast service and good offerings. 2nd leg to BKK aircraft change from A380 to B773 without being informed. Random seat assigned. Luckily realized this some time before and changed to a decent seat. Boarding organized and from a contact gate. Flight service good, with average catering. WIFI not working.",Boeing 738 max / B773 ER,Solo Leisure,Economy Class,Abu Dhabi to Bangkok via Doha,September 2023,6,3.0,5.0,2.0,4.0,4.0,1,yes
"""we never got a refund""",D Laguitton,United Kingdom,22nd September 2023,Trip Verified,"July 2023. Family of 5 with 3 children, pre-booked extra leg room seats and so that we could be together. Our seats were reallocated to a group as we transited through Doha airport. We ended up with seats spread across the entire the aircraft, nowhere near each other. Our 13 year old who’s afraid of flying was sick with the stress caused, and to us as parents worried that if something happened there was no way we could have taken care of our 3 children. Total lack of interest, no customer care, no customer service, no attempt to improve the situation, then lies and fabrication of reasons when we complained at the gate, onboard and afterwards to their customer care team. First they claimed the aircraft had been changed, then that our seats were changed for operational reasons, and then best of all claiming we had missed our flight and had been put on a different plane. Because we complained, we never got a refund for the extra leg room seats.",,Family Leisure,Economy Class,Doha to Colombo,July 2023,1,2.0,1.0,2.0,,1.0,3,no
"""lost the connection flight""",Y Horden,Uganda,22nd September 2023,Trip Verified,"Qatar Airways has good service on board and the seats are quite comfortable. The airport is also nice to explore. I flew twice now with Qatar but this time we had a delay already in Entebbe of 3 hours then lost the connection flight and had to wait 8 hours in Doha. I asked for a hotel room or a  food voucher or anything. We were forced to wait around and sleep in lounge chairs. This was not acceptable and for a waiting time, lost hotel and lost day in Vienna I expected at least an apology.",,Business,Economy Class,Entebbe to Vienna via Doha,September 2023,5,4.0,5.0,3.0,5.0,4.0,3,no
"""The service was amazing""",M Haleem,Germany,22nd September 2023,Trip Verified,The service was amazing. All the time the cabin crew was walking around with drinks and snacks. During the flight I had some problems with my back (sport injuries,,Solo Leisure,Economy Class,Doha to Frankfurt,September 2023,10,5.0,5.0,5.0,5.0,5.0,5,yes
"""very average flights""",Michael Schade,Germany,20th September 2023,Trip Verified,"Check in at Bangkok airport friendly and efficient. Even Qatars Platinum members are not allowed to use their own lounge in BKK. Their contract Miracle lounge was very average to say the least and does not deserve the name. Boarding was well organized. Cabin crew was friendly and efficient throughout the flight. Food was a big letdown, with no more butter for breakfast, no pepper and salt or a small spoon for the dessert or stirring the coffee. The main meal was disappointing in appearance and taste. Internet worked for just 20 min after reaching cruising altitude. Al Maha transfer service worked well this time after the hostess did not show up twice at the aircraft earlier this year. Platinum lounge was great. The short second leg of the trip was uneventful; the virtual entertainment system (their new 738 do not have private screens",Boeing 773ER / 738 Max,Solo Leisure,Economy Class,Bangkok to Abu Dhabi via Doha,September 2023,5,3.0,5.0,1.0,4.0,4.0,2,yes
